"","denial","adversary","esca_scaled","esca_scaled_wa","MA_scaled","GovTrust","NewsTrust","IntTrust","NC_scaled","Military.Service","Read.FP","reputation_scaled","ambiguity","insulting","war","airstrike","sanctions","diplomacy","age","male","hhi","white","black","education","republican","democrat"
"29",0,1,62.7288338536568,64.8761403908029,2.26529813229998,2,2,1,-0.0615198509462284,0,3,74.7588611113663,4,5,1,3,5,5,62,0,6,1,0,2,1,0
"30",0,1,31.955081235635,22.3008374182263,0.946421335629153,1,1,1,-0.819102942980701,0,5,33.6018692737612,4,2,3,1,2,3,29,1,1,0,0,4,0,1
"31",1,1,31.9023292754289,26.0118887974447,0.570977168468757,3,3,3,0.361114102831249,0,4,33.5196781183786,3,5,1,1,3,4,58,0,5,1,0,3,0,1
"32",1,1,56.927588554554,54.7682482185705,-1.77674345969498,2,2,4,0.0261649645742542,1,4,67.0393562367572,4,4,1,2,5,5,78,0,18,1,0,4,0,1
"33",1,1,81.3644169268284,82.4380701954014,-1.77674345969498,3,2,4,0.361114102831249,0,3,33.6786258516297,3,4,3,4,5,5,69,1,5,1,0,6,1,0
"34",0,1,69.1460027406912,68.603159206986,1.10728042241834,2,1,1,0.361114102831249,0,1,91.4803218816214,4,3,2,3,5,5,78,0,2,1,0,6,1,0
"35",1,1,75.0252592791252,78.7563594211258,-1.61588437290579,2,2,3,-0.396468989203223,0,1,41.4803218816214,3,2,3,4,5,4,64,0,4,1,0,5,0,1
"36",0,1,75.5379123486005,68.5738186020432,1.48272458957873,3,3,3,0.361114102831249,0,3,66.8804085035062,3,2,4,3,4,5,35,0,6,1,0,5,1,0
"37",0,1,68.6080903920907,75.0293406049427,-0.929582977779368,2,2,2,0.273429287310766,0,3,67.0393562367572,4,3,2,4,5,4,49,0,8,1,0,5,1,0
"38",0,1,100,100,1.48272458957873,2,2,1,-0.396468989203223,0,5,100,4,4,5,5,5,5,53,0,13,1,0,6,1,0
"39",1,1,31.3644169268284,32.4380701954014,0.635564107663123,3,1,3,0.0261649645742542,0,2,50,2,3,1,2,3,3,72,0,11,1,0,4,0,0
"40",1,1,25.5631716277257,22.3301780231691,3.11245861421559,3,3,3,0.361114102831249,0,5,41.4803218816214,2,3,1,1,3,3,74,0,24,1,0,6,0,0
"41",0,1,93.5828311129656,96.2729811838169,1.48272458957873,4,4,3,-0.396468989203223,0,2,75.2411388886337,4,3,4,5,5,5,72,0,1,1,0,3,1,0
"42",0,1,24.3588171329431,27.6245139349234,1.48272458957873,3,3,3,-0.0615198509462284,0,4,50.4000866218848,4,4,2,3,1,2,54,0,12,0,0,5,0,0
"43",1,1,44.7871856077481,40.9786452720625,-0.994169916973735,5,5,4,0.696063241088244,0,5,25.4000866218848,3,3,1,1,5,4,61,1,24,1,0,7,0,1
"44",1,1,43.1734485619466,60.2571894659329,-0.0178355566693904,1,2,1,-0.819102942980701,0,5,91.8804085035061,4,1,1,4,5,1,25,1,14,1,0,6,0,1
"45",1,1,81.3644169268284,82.4380701954014,0.635564107663123,2,2,2,0.783748056608727,0,4,100,3,5,3,4,5,5,69,0,6,1,0,2,0,1
"46",0,1,69.1460027406912,68.603159206986,-0.63955001260145,4,2,4,-1.1540520812377,0,4,16.2391829929877,4,5,2,3,5,5,34,0,20,0,1,1,0,1
"47",1,1,50.5631716277257,47.3301780231691,0.635564107663123,3,3,3,0.361114102831249,0,3,50.4000866218848,3,4,2,2,4,4,54,0,17,0,1,7,0,1
"48",1,1,37.1404029468059,38.7896029465079,0.635564107663123,3,2,4,0.361114102831249,0,2,41.4803218816214,3,2,2,3,2,3,69,0,7,1,0,2,0,1
"49",1,1,62.7288338536568,64.8761403908029,0.946421335629153,2,2,1,0.0261649645742542,0,5,66.2391829929877,3,4,1,3,5,5,66,1,2,1,0,2,0,1
"50",0,1,74.9472480397939,78.7110513792183,1.95444090433395,2,1,3,-0.149204666466711,0,3,33.5196781183786,4,5,2,4,5,5,62,0,2,1,0,4,1,0
"51",0,1,56.3644169268284,57.4380701954014,-0.768723890990183,2,1,3,0.0261649645742542,0,1,83.5196781183786,4,3,2,3,4,4,52,0,21,1,0,2,0,1
"52",1,1,44.1460027406912,43.603159206986,-2.08760068766101,1,1,2,-0.396468989203223,0,5,41.8804085035062,3,3,1,2,4,4,56,0,20,1,0,6,0,1
"53",1,1,31.3391576477032,28.6817107742756,-0.994169916973735,4,3,4,0.361114102831249,0,3,8.51967811837861,2,4,2,2,2,3,72,0,2,1,0,5,0,1
"54",1,1,81.3644169268284,82.4380701954014,1.48272458957873,5,3,4,0.361114102831249,0,5,83.7608170070123,4,4,3,4,5,5,67,0,4,1,0,5,0,1
"55",1,1,50.4851603883944,47.2848699812616,-2.39845791562704,4,2,4,-0.0615198509462284,0,3,42.2804951253909,3,2,1,2,4,5,37,0,21,0,0,6,0,1
"56",0,1,68.5575718338404,67.5166217626911,-0.0824224958637566,3,3,2,0.0261649645742542,0,1,50,4,4,4,4,3,4,43,0,7,1,0,2,0,0
"57",0,1,50,50,-0.457866663024153,3,3,3,0.448798918351732,NA,5,50,3,1,3,3,3,3,40,0,5,1,0,3,0,0
"58",0,1,37.7035745745316,36.119780969677,-4.33904916822993,2,2,4,-0.819102942980701,0,4,24.8410522667489,4,1,1,2,3,4,35,0,9,1,0,6,0,1
"59",0,1,87.7815858138628,86.1650890115845,1.79358181754476,2,4,1,0.361114102831249,0,2,100,4,5,4,4,5,5,36,0,3,0,0,3,0,1
"60",1,1,62.7815858138628,61.1650890115845,0.635564107663123,3,3,3,-0.0615198509462284,0,4,75.1589477332511,3,3,3,3,4,4,63,0,11,1,0,7,0,0
"61",0,1,68.454301315384,63.7149542996577,1.48272458957873,1,1,2,0.0261649645742542,0,5,91.8804085035061,4,4,4,4,2,5,69,0,5,1,0,2,1,0
"62",0,1,81.4424281661596,82.4833782373089,3.11245861421559,1,1,2,-0.731418127460218,0,3,75,4,4,4,4,5,4,50,0,7,0,0,2,1,0
"63",1,1,38.3447574415885,33.4952670347536,-2.55931700241623,4,3,2,-0.396468989203223,0,3,66.8804085035062,3,5,1,1,4,4,48,0,14,0,0,6,0,1
"64",1,1,0,0,-4.33904916822993,2,1,2,-1.1540520812377,0,3,33.7608170070123,3,2,1,1,1,1,21,0,8,0,0,2,0,0
"65",0,1,62.3216847045936,67.6365784514488,0.0992608537135411,4,4,4,-0.0615198509462284,0,5,58.5196781183786,3,4,4,4,4,2,34,0,18,1,0,8,0,1
"66",0,1,69.1460027406912,68.603159206986,-0.768723890990183,2,1,3,-0.0615198509462284,0,1,25.5590343551358,4,4,2,3,5,5,32,0,7,1,0,6,0,1
"67",0,1,36.6552425584115,41.5047329652464,1.79358181754476,3,3,3,0.361114102831249,0,5,66.8804085035062,4,4,4,4,1,1,62,0,2,1,0,4,1,0
"68",1,1,68.6080903920907,75.0293406049427,1.01100827482352,2,2,2,-0.0615198509462284,0,4,58.2017826518765,3,2,2,4,5,4,31,1,10,1,0,5,1,0
"69",0,1,25.3566305908129,14.7268430971024,-4.33904916822993,3,3,3,-1.1540520812377,0,5,50.3178954665022,4,4,1,1,1,5,55,1,19,0,0,8,0,0
"70",0,1,75.5631716277257,72.3301780231691,-0.587040541412885,5,5,1,1.11869719486572,0,5,0,4,5,3,3,5,5,45,1,8,1,0,8,0,1
"71",1,1,69.1207434615661,64.8467997858601,1.41813765038437,4,3,4,0.783748056608727,1,3,66.8804085035062,3,4,3,3,4,5,75,1,5,0,0,5,1,0
