"","denial","adversary","esca_scaled","MA_scaled","GovTrust","NewsTrust","IntTrust","NC_scaled","Read.FP","reputation_scaled","ambiguity","insulting","war","airstrike","sanctions","diplomacy","age","male","hhi","white","black","education","republican","democrat"
"718",1,1,76.1982994036107,-1.19377105950913,2,1,2,0.288011200124253,4,58.3778406163304,3,4,3,4,5,4,40,1,10,1,0,6,1,0
"720",1,1,68.3002495240056,0.443343138814045,4,5,3,0.606926920673684,4,41.4236609185356,3,3,4,4,4,3,36,1,14,1,0,7,0,1
"721",0,1,77.3356805629064,-1.06385190604844,2,1,3,0.288011200124253,5,33.5763390814644,4,5,3,3,5,5,64,1,20,1,0,3,1,0
"725",0,1,31.6997504759944,2.477854900665,4,4,1,0.606926920673684,5,67.1526781629289,4,4,2,2,2,3,40,0,15,0,0,4,0,0
"726",1,1,64.6587185999146,2.31653367195256,3,2,3,-0.101897048398659,4,59.1068578607237,3,5,1,4,5,4,66,0,5,1,0,2,1,0
"729",1,1,47.9716106498184,-4.7885564568999,4,2,4,-0.810721017471003,3,8.57633908146444,3,2,1,1,5,4,29,1,4,0,0,4,0,1
"731",0,1,77.3356805629064,0.099024165963596,2,2,4,-0.491805296921572,3,25.7290172443933,4,5,3,3,5,5,32,1,16,1,0,5,0,1
"732",1,1,62.5304591221576,1.31497882865296,4,3,4,-0.0309045204251778,4,41.6221593836696,4,3,3,4,4,3,55,1,12,0,0,7,0,1
"733",0,1,69.2302095981519,-0.375213960347544,4,3,3,0.288011200124253,4,75.5305187792592,4,4,3,4,4,4,35,1,1,1,0,2,0,0
"735",0,1,64.5978003555995,-2.06540674934805,2,1,4,-0.42081276894809,4,75,4,4,2,3,4,5,48,1,13,1,0,6,1,0
"736",0,1,52.3356805629064,-2.75404469504895,3,2,3,-0.739728489497521,3,50.1984984651341,4,3,2,2,4,4,35,0,17,0,0,4,0,1
"737",0,1,87.5304591221575,1.36805741933028,1,1,1,-0.101897048398659,1,50.8625390933844,4,3,4,5,5,4,26,1,8,1,0,4,1,0
"738",0,1,76.9208383926077,2.13353592781455,4,2,4,-0.0309045204251778,4,100,4,5,1,5,5,5,49,1,8,1,0,5,0,1
"739",1,1,93.3002495240056,3.34949059050391,1,1,1,-0.810721017471003,4,58.0458203022052,4,5,5,5,5,4,60,1,6,1,0,5,1,0
"740",1,1,74.0700399258537,0.787662111664495,5,2,5,-0.491805296921572,4,66.9541796977948,3,3,5,4,4,3,33,1,19,1,0,7,0,1
"741",1,1,54.6713611258127,0.390264548136721,4,4,3,0.606926920673684,5,50.3320203141251,4,4,1,1,5,5,70,0,17,0,0,6,0,1
"742",1,1,35.4021996444005,-1.29992824086378,4,3,4,-0.42081276894809,4,41.4236609185356,3,2,4,3,2,1,28,1,17,0,1,5,0,1
"745",0,1,83.1054709647545,-0.902530677336007,2,1,2,-0.42081276894809,4,75,4,4,4,3,5,5,29,1,8,1,0,2,0,1
"746",0,1,88.6678402814532,-0.902530677336007,4,2,4,0.217018672150771,4,75.5305187792592,3,4,4,4,5,5,23,1,NA,1,0,1,0,1
"747",0,1,63.4604191963038,-3.57260179421053,1,2,4,-1.12963673802043,4,16.4236609185356,3,2,2,4,4,4,47,1,6,1,0,3,1,0
"751",0,1,70.1601696722982,0.390264548136721,2,2,3,-0.101897048398659,4,49.8664781510089,3,1,2,4,4,5,64,0,8,0,0,4,1,0
"752",1,1,19.4376306833013,-1.59116862303691,3,2,3,-0.810721017471003,2,50,2,3,2,1,2,2,48,0,1,1,0,5,0,1
"753",0,1,46.5658901610583,-2.4097257221985,2,2,2,-0.42081276894809,1,42.1526781629289,4,4,1,2,4,4,60,0,7,1,0,6,0,1
"756",0,1,77.3356805629064,0.917581265125185,2,1,4,0.288011200124253,4,100,4,5,3,3,5,5,33,1,18,1,0,3,1,0
"757",0,1,77.3356805629064,-0.0308949874970942,2,1,2,-0.491805296921572,4,50,4,5,3,3,5,5,42,1,3,1,0,4,1,0
"758",0,1,69.2302095981519,0.917581265125185,4,4,3,0.677919448647165,3,33.3778406163304,4,3,3,4,4,4,60,0,3,0,0,2,0,1
"759",1,1,100,-0.796373495981359,1,1,1,-0.42081276894809,1,100,4,5,5,5,5,5,51,1,7,1,0,4,0,1
"760",0,1,82.6906287944558,1.60621921082608,5,5,4,0.606926920673684,1,83.5763390814644,4,5,2,5,5,5,22,1,9,0,0,6,1,0
"761",1,1,71.3584690759089,0.734583520987171,4,2,2,-0.101897048398659,2,50.1984984651341,4,1,1,4,5,5,63,1,5,1,0,4,0,1
"766",1,1,41.8945290352455,-1.06385190604844,4,4,4,0.288011200124253,3,42.1526781629289,3,3,3,4,2,2,37,1,1,0,1,6,0,1
"770",1,1,56.7606687203095,0.390264548136721,2,4,5,0.217018672150771,3,42.2862000119199,3,3,2,4,4,3,19,1,NA,0,1,1,0,1
"781",1,1,94.2302095981519,2.66085264480301,4,3,2,0.996835169196596,5,42.1526781629289,4,5,4,5,5,5,76,0,12,1,0,3,0,1
