"","denial","adversary","esca_scaled","MA_scaled","GovTrust","NewsTrust","IntTrust","NC_scaled","Read.FP","reputation_scaled","ambiguity","insulting","war","airstrike","sanctions","diplomacy","age","male","hhi","white","black","education","republican","democrat"
"1043",1,1,57.8980498796051,0.390264548136721,5,4,4,0.606926920673684,4,66.9541796977948,3,4,2,3,4,4,33,1,15,0,1,5,0,1
"1054",0,1,82.6906287944558,1.65929780150341,3,3,1,-0.810721017471003,2,100,4,1,2,5,5,5,47,1,NA,1,0,1,0,1
"1059",0,1,65.7960997592102,2.13353592781455,2,1,2,0.996835169196596,4,59.4388781748488,4,2,1,3,5,5,60,1,9,1,0,5,1,0
"1077",0,1,20.3675907574475,-1.93548759588736,4,4,2,-0.42081276894809,1,32.515301522946,4,1,1,1,2,3,64,0,1,0,1,2,0,1
"1080",1,1,71.3584690759089,-3.09836366789939,2,2,4,-0.0309045204251778,5,33.9083593955896,4,3,1,4,5,5,60,1,7,1,0,6,0,0
"1081",0,1,27.0673412334419,-2.88396384850964,2,2,4,-0.810721017471003,4,8.57633908146444,4,1,1,1,2,4,26,0,1,0,0,7,0,1
"1082",1,1,87.7378802073069,-2.06540674934805,3,4,2,-0.101897048398659,4,66.6221593836696,3,4,5,4,5,4,58,1,1,1,0,4,0,0
"1083",1,1,52.128259477757,-0.375213960347544,3,3,3,0.288011200124253,2,0,3,3,1,3,4,4,30,0,19,1,0,4,0,1
"1084",0,1,46.5658901610583,-0.245294806886854,1,1,4,-0.0309045204251778,3,66.9541796977948,4,3,1,2,4,4,22,0,1,1,0,4,0,0
"1085",0,1,59.0963492832158,1.1005790092632,1,1,2,0.288011200124253,3,58.7098609304555,2,4,1,3,5,4,38,0,9,1,0,2,1,0
"1086",0,1,59.3037703683652,-0.428292551024868,3,2,3,-0.101897048398659,2,41.4236609185356,4,4,2,2,5,4,35,0,23,1,0,6,1,0
"1087",1,1,27.0673412334419,-3.57260179421053,2,2,4,-0.810721017471003,4,8.57633908146444,3,2,1,1,2,4,29,0,19,1,0,6,0,1
"1088",1,1,69.2302095981519,-0.32213536967022,4,3,2,-0.101897048398659,2,66.9541796977948,3,3,3,4,4,4,41,0,1,0,0,2,0,0
"1091",0,1,100,3.34949059050391,1,1,1,-0.101897048398659,2,100,4,5,5,5,5,5,41,0,9,0,0,4,1,0
"1095",1,1,73.2009980960225,2.477854900665,3,3,2,0.288011200124253,1,75.5305187792592,4,5,5,5,5,1,45,0,NA,1,0,5,0,1
"1096",1,1,63.6678402814532,-1.59116862303691,1,1,2,-0.42081276894809,4,50,3,2,3,3,4,4,68,0,4,0,0,6,0,0
"1104",0,1,46.5658901610583,-0.902530677336007,5,4,4,0.288011200124253,2,8.04582030220521,4,2,1,2,4,4,23,1,6,1,0,2,1,0
"1107",1,1,59.0354310389007,-2.27980656873781,1,1,3,-0.101897048398659,3,42.1526781629289,3,3,2,2,4,5,31,1,1,0,0,4,1,0
"1108",0,1,88.6678402814532,1.26190023797563,2,1,4,0.288011200124253,1,58.5763390814644,4,5,4,4,5,5,60,1,20,1,0,4,1,0
"1110",0,1,88.6678402814532,2.477854900665,2,2,3,0.288011200124253,1,33.7748375465985,4,2,4,4,5,5,65,0,8,1,0,7,1,0
"1111",1,1,31.9680898054588,-2.88396384850964,1,2,3,-0.810721017471003,4,67.484698477054,3,1,2,2,3,2,41,0,3,1,0,5,0,1
"1119",1,1,100,3.34949059050391,5,5,5,0.996835169196596,5,100,4,5,5,5,5,5,31,1,21,1,0,7,1,0
"1120",0,1,18.0928284388563,2.477854900665,4,5,1,0.606926920673684,4,49.6679796858749,3,3,1,3,2,1,21,0,12,0,0,2,0,1
"1123",1,1,100,3.34949059050391,5,5,1,0.996835169196596,5,100,4,5,5,5,5,5,32,0,21,1,0,7,1,0
"1125",0,1,49.1309581701688,1.31497882865296,4,4,2,0.996835169196596,5,8.37784061633036,4,3,3,4,4,1,32,0,21,0,1,6,0,1
"1126",1,1,76.1982994036107,1.26190023797563,1,1,3,-0.101897048398659,4,75,3,4,3,4,5,4,65,0,9,1,0,4,1,0
"1129",0,1,37.7378802073069,0.099024165963596,3,2,3,-0.101897048398659,1,83.9083593955896,3,3,3,2,3,2,22,0,1,0,1,2,0,0
"1130",1,1,88.6678402814532,2.13353592781455,1,1,1,0.217018672150771,5,83.5763390814644,4,4,4,4,5,5,51,0,1,1,0,4,1,0
"1138",1,1,50.2683393294645,-2.46280431287582,3,3,1,-0.42081276894809,4,66.4236609185356,2,2,3,3,4,2,23,1,21,1,0,7,0,1
"1140",0,1,52.3356805629064,1.31497882865296,5,4,5,0.288011200124253,4,42.484698477054,4,4,2,2,4,4,43,1,20,1,0,5,0,1
"1141",1,1,60.2337304425115,-3.28136141203741,3,3,4,0.677919448647165,3,33.5763390814644,3,3,1,2,5,5,42,1,4,1,0,2,0,0
"1143",0,1,82.8980498796051,0.443343138814045,4,2,2,0.606926920673684,4,34.1068578607237,4,1,3,4,5,5,18,1,8,1,0,1,0,1
"1145",0,1,22.6643194370936,0.443343138814045,2,4,3,0.606926920673684,1,91.9541796977948,4,4,3,3,1,1,60,0,2,0,0,2,0,0
"1149",1,1,62.5304591221576,-0.375213960347544,3,3,3,0.288011200124253,1,33.2443187673393,3,4,3,4,4,3,27,1,19,1,0,6,0,0
"1150",0,1,69.0227885130026,-0.796373495981359,4,3,2,0.217018672150771,4,83.9083593955896,4,5,2,5,4,4,28,1,14,0,1,2,0,1
"1151",1,1,70.4285090017626,-1.19377105950913,3,2,4,0.288011200124253,3,17.1526781629289,4,3,2,4,5,4,45,1,9,1,0,4,1,0
"1163",0,1,76.9208383926077,-2.01232815867072,1,1,1,-0.739728489497521,5,100,4,5,1,5,5,5,51,1,17,1,0,8,0,0
"1165",0,1,57.6297105501406,0.443343138814045,4,4,4,-0.0309045204251778,5,49.6679796858749,4,2,2,3,3,5,50,1,1,1,0,3,0,1
"1166",1,1,100,3.34949059050391,4,2,3,0.996835169196596,5,100,4,5,5,5,5,5,47,1,21,1,0,7,1,0
"1167",0,1,94.2302095981519,2.13353592781455,1,1,1,0.996835169196596,4,100,4,1,4,5,5,5,60,1,7,1,0,5,0,1
"1168",0,1,82.8980498796051,1.60621921082608,1,1,4,-0.491805296921572,5,42.1526781629289,4,5,3,4,5,5,29,1,6,0,1,5,0,1
"1169",1,1,82.6906287944558,2.477854900665,2,2,1,0.288011200124253,5,75.3320203141251,3,5,2,5,5,5,34,1,7,0,1,6,0,1
"1170",0,1,58.8280099537514,-2.75404469504895,4,4,3,-0.349820240974609,4,16.6221593836696,3,3,1,3,4,5,69,0,8,1,0,8,NA,NA
"1173",1,1,88.4604191963038,-1.19377105950913,3,3,2,-0.810721017471003,5,41.7556812326607,3,1,3,5,5,5,43,1,23,1,0,6,0,1
"1183",0,1,82.8980498796051,0.443343138814045,2,2,2,0.359003728097735,3,58.0458203022052,4,4,3,4,5,5,57,1,9,1,0,2,1,0
"1187",1,1,88.6678402814532,0.390264548136721,3,3,2,0.677919448647165,5,66.9541796977948,4,5,4,4,5,5,76,1,5,1,0,4,1,0
"1189",0,1,54.6713611258127,0.679419473629384,3,3,3,0.217018672150771,2,24.8015015348659,4,5,1,1,5,5,40,1,8,0,1,5,0,1
"1193",1,1,71.7733112462077,0.099024165963596,2,2,3,-0.0309045204251778,3,50.3320203141251,4,4,3,2,5,5,18,1,1,0,0,5,0,1
"1198",0,1,81.9680898054588,1.31497882865296,4,2,3,0.288011200124253,4,83.5763390814644,4,4,4,4,5,4,80,1,9,1,0,4,1,0
"1199",1,1,50.0609182443151,-1.11693049672577,5,4,4,0.677919448647165,1,8.37784061633036,4,1,2,4,4,2,60,0,2,0,1,5,0,1
"1201",1,1,73.8017005963893,-0.955609268013331,4,4,1,-0.101897048398659,4,75.1984984651341,4,4,5,4,3,4,43,0,18,0,1,2,0,1
"1204",0,1,94.2302095981519,0.734583520987171,2,2,3,0.606926920673684,4,67.1526781629289,4,4,4,5,5,5,72,1,5,1,0,4,0,0
"1211",0,1,63.4604191963038,-1.11693049672577,2,3,2,-0.101897048398659,3,75,4,4,2,4,4,4,66,1,13,1,0,2,1,0
"1218",1,1,41.0035208443596,-0.719532933197993,4,2,4,-0.42081276894809,4,33.5763390814644,3,1,1,1,4,4,41,1,7,1,0,4,0,1
"1224",1,1,69.9527485871488,2.13353592781455,3,2,2,0.288011200124253,4,91.9541796977948,4,4,1,5,4,5,48,1,21,0,0,4,1,0
"1226",0,1,88.6678402814532,-1.88240900521003,4,4,4,0.288011200124253,2,58.3778406163304,4,2,4,4,5,5,62,1,1,1,0,4,0,1
"1229",1,1,13.3995009519887,3.34949059050391,2,1,3,0.288011200124253,4,8.57633908146444,3,2,1,1,1,3,62,1,2,1,0,8,1,0
"1230",1,1,75,0.443343138814045,4,4,2,0.288011200124253,3,58.0458203022052,3,3,4,4,4,4,40,0,3,0,1,3,0,1
"1231",0,1,81.9680898054588,1.65929780150341,4,2,4,0.288011200124253,3,100,4,5,4,4,5,4,46,0,19,0,1,5,0,1
"1233",0,1,94.2302095981519,0.917581265125185,5,5,5,0.606926920673684,5,91.4236609185356,4,5,4,5,5,5,26,1,19,0,1,2,0,1
"1254",1,1,82.6906287944558,2.13353592781455,3,1,2,0.606926920673684,5,91.4236609185356,4,5,2,5,5,5,65,1,3,1,0,5,1,0
"1255",0,1,56.492329390845,-0.32213536967022,2,1,2,-0.101897048398659,1,74.6679796858749,3,3,2,4,3,4,31,0,1,0,0,2,1,0
"1256",0,1,88.6678402814532,-0.772611523875317,4,3,2,0.288011200124253,5,100,4,4,4,4,5,5,65,0,8,1,0,4,0,1
"1257",1,1,NA,-2.06540674934805,2,2,3,-0.491805296921572,1,58.7098609304555,3,2,NA,2,3,4,26,1,8,0,0,4,0,1
"1258",0,1,94.2302095981519,0.443343138814045,2,1,2,0.288011200124253,2,100,4,4,4,5,5,5,67,0,7,1,0,4,0,1
"1261",1,1,76.4057204887601,0.734583520987171,2,2,3,-0.101897048398659,1,75.3320203141251,3,4,4,3,5,4,36,1,14,0,0,6,1,0
"1263",0,1,100,0.496421729491369,2,4,2,-0.101897048398659,3,75,4,4,5,5,5,5,30,1,4,0,1,4,0,1
"1264",0,1,57.8980498796051,0.787662111664495,3,2,3,-0.101897048398659,4,100,4,3,2,3,4,4,27,1,17,0,1,2,0,0
"1265",1,1,76.9208383926077,1.26190023797563,4,4,4,0.606926920673684,3,25,3,5,1,5,5,5,47,1,19,0,0,4,0,1
"1267",1,1,94.2302095981519,1.65929780150341,3,3,2,-0.101897048398659,4,100,4,4,4,5,5,5,46,1,11,0,0,6,1,0
"1269",1,1,38.7287585257683,-0.428292551024868,3,4,3,0.606926920673684,4,74.6679796858749,3,3,1,3,4,2,42,1,3,0,1,2,0,0
"1271",1,1,68.0928284388563,-0.719532933197993,3,3,3,-0.101897048398659,4,75.3320203141251,3,4,3,5,4,3,29,1,1,0,1,2,0,1
"1272",0,1,100,-0.719532933197993,3,3,3,0.677919448647165,3,100,4,5,5,5,5,5,34,1,1,0,1,2,0,0
"1273",0,1,50,-1.88240900521003,2,1,3,0.288011200124253,4,25.5305187792592,4,5,3,3,3,3,27,1,8,0,1,2,0,0
"1275",1,1,56.6997504759944,-2.06540674934805,3,3,3,-0.42081276894809,1,50.3320203141251,3,1,3,3,3,4,29,0,NA,0,0,6,0,1
"1277",0,1,51.6131415739095,-1.24684965018646,2,2,1,0.606926920673684,4,75.8625390933844,4,3,4,1,4,3,49,0,12,0,1,5,0,0
"1278",0,1,13.3995009519887,-3.28136141203741,5,5,3,0.996835169196596,1,83.9083593955896,4,5,1,1,1,3,52,0,1,0,1,5,0,1
"1279",1,1,63.6678402814532,-2.06540674934805,2,1,2,-0.739728489497521,3,58.5763390814644,3,3,3,3,4,4,44,0,10,0,1,7,0,1
"1282",1,1,54.6713611258127,-1.24684965018646,2,2,3,0.288011200124253,4,42.6831969421881,3,2,1,1,5,5,27,1,9,0,0,6,1,0
"1283",0,1,70.635930086912,-0.772611523875317,3,1,4,0.288011200124253,1,59.1068578607237,4,3,3,3,5,4,58,0,5,0,0,2,0,1
