,denial,adversary,esca_scaled,MA_scaled,GovTrust,NewsTrust,IntTrust,NC_scaled,Military.Service,Read.FP,reputation_scaled,ambiguity,insulting,war,airstrike,sanctions,diplomacy,age,male,hhi,white,black,education,republican,democrat
46,0,1,69.14600274,-0.639550013,4,2,4,-1.154052081,0,4,16.23918299,4,5,2,3,5,5,34,0,20,0,1,1,0,1
47,1,1,50.56317163,0.635564108,3,3,3,0.361114103,0,3,50.40008662,3,4,2,2,4,4,54,0,17,0,1,7,0,1
48,1,1,37.14040295,0.635564108,3,2,4,0.361114103,0,2,41.48032188,3,2,2,3,2,3,69,0,7,1,0,2,0,1
49,1,1,62.72883385,0.946421336,2,2,1,0.026164965,0,5,66.23918299,3,4,1,3,5,5,66,1,2,1,0,2,0,1
50,0,1,74.94724804,1.954440904,2,1,3,-0.149204666,0,3,33.51967812,4,5,2,4,5,5,62,0,2,1,0,4,1,0
51,0,1,56.36441693,-0.768723891,2,1,3,0.026164965,0,1,83.51967812,4,3,2,3,4,4,52,0,21,1,0,2,0,1
52,1,1,44.14600274,-2.087600688,1,1,2,-0.396468989,0,5,41.8804085,3,3,1,2,4,4,56,0,20,1,0,6,0,1
53,1,1,31.33915765,-0.994169917,4,3,4,0.361114103,0,3,8.519678118,2,4,2,2,2,3,72,0,2,1,0,5,0,1
54,1,1,81.36441693,1.48272459,5,3,4,0.361114103,0,5,83.76081701,4,4,3,4,5,5,67,0,4,1,0,5,0,1
55,1,1,50.48516039,-2.398457916,4,2,4,-0.061519851,0,3,42.28049513,3,2,1,2,4,5,37,0,21,0,0,6,0,1
56,0,1,68.55757183,-0.082422496,3,3,2,0.026164965,0,1,50,4,4,4,4,3,4,43,0,7,1,0,2,0,0
57,0,1,50,-0.457866663,3,3,3,0.448798918,NA,5,50,3,1,3,3,3,3,40,0,5,1,0,3,0,0
58,0,1,37.70357457,-4.339049168,2,2,4,-0.819102943,0,4,24.84105227,4,1,1,2,3,4,35,0,9,1,0,6,0,1
59,0,1,87.78158581,1.793581818,2,4,1,0.361114103,0,2,100,4,5,4,4,5,5,36,0,3,0,0,3,0,1
60,1,1,62.78158581,0.635564108,3,3,3,-0.061519851,0,4,75.15894773,3,3,3,3,4,4,63,0,11,1,0,7,0,0
61,0,1,68.45430132,1.48272459,1,1,2,0.026164965,0,5,91.8804085,4,4,4,4,2,5,69,0,5,1,0,2,1,0
62,0,1,81.44242817,3.112458614,1,1,2,-0.731418127,0,3,75,4,4,4,4,5,4,50,0,7,0,0,2,1,0
